ماه,نام کالا,وزن خالص فروش
خرداد,بیکن سینه بوقلمون (98درصد),1516
خرداد,ناگت مرغ  ستاره ای,1442
خرداد,بیکن ران بوقلمون (98درصد),1410
خرداد,سوسیس هات داگ پنیر (55درصد گوشت),1375
خرداد,میت برگر 100% گوشت - 500 گرمی رباط,1353
خرداد,بیکن مخلوط (97/5درصد گوشت قرمز و مرغ),1315
خرداد,کالباس گوشت تنوری (90درصد گوشت),1311
خرداد,برگر ممتاز 60% - 500 گرمی -قازاریان,1289
خرداد,کالباس پپرونی (70درصد گوشت),1264
خرداد,مک برگر 500گرمي (گوشت 90درصد),1140
خرداد,کالباس مارتادلا (40درصد گوشت),1130
خرداد,بیکن مرغ (98درصد),1081
خرداد,شنیسل مرغ,1008
خرداد,سوسیس بلغاری گوشت (55درصد),913
خرداد,سوسيس کراکو پنير(55درصدگوشت),869
خرداد,کالباس نوروزی (90درصد گوشت),765
خرداد,سوسیس هات داگ باچینو (40درصد مرغ),747
خرداد,مک برگر 450 گرمي -فست فودی (گوشت 90درصد),698
خرداد,سوسیس هات داگ قارچ و پنیر ( ماشروم کراکف ) 55%,689
خرداد,ناگت مرغ  ساده,688
خرداد,سوسیس کوکتل مرغ (70درصد),666
خرداد,بیف برگر 85 % -500 گرمی  رباط,663
خرداد,اسموکی برگر 90% - 500 گرمی - رباط,648
خرداد,پرایم برگر 75% - 500 گرمی  رباط,630
خرداد,وکیوم بیکن صبحانه 300gr(97درصد گوشت),596
خرداد,کالباس سالامی (90درصد گوشت),556
خرداد,کالباس لیونر خانواده 500gr(55درصد گوشت),481
خرداد,وکيوم سوسيس کراکو پنير (55درصد گوشت),458
خرداد,کالباس مخلوط گوشت و مرغ (90درصد),418
خرداد,دارفرش بیکن صبحانه 250gr(97درصد گوشت),400
خرداد,توری سوسیس فسقلی 500gr(55درصد),369
خرداد,کالباس خشک خانواده 500gr(60درصد گوشت),342
خرداد,کالباس فيله مخلوط گوشت و مرغ (97/5درصد),316
خرداد,کالباس پپرونی پیتزایی (55درصد گوشت),299
خرداد,وکيوم کالباس مرغ تنوري 300gr (90درصد مرغ),261
خرداد,وکيوم کالباس گوشت تنوري 300gr (90درصد گوشت),260
خرداد,فيله بوقلمون فرآوري شده معمولي (98درصد),253
خرداد,سوسيس هات داگ باربيکيو گوشت (90درصد),243
خرداد,هندران (98درصد ران بوقلمون),231
خرداد,سوسیس هات داگ رویال 28 سانتی(70درصد گوشت),217
خرداد,سالامی روسی (97درصد گوشت),206
خرداد,وکیوم بیکن گوساله 300gr(97درصد),184
خرداد,کالباس مامریچ با گوشت نمایشی (55درصد مرغ),181
خرداد,پپرونی 70%گوشت بیگ بوی,146
خرداد,کالباس هامق (40درصد مرغ),138
خرداد,وکیوم بیکن سینه بوقلمون 300gr(98درصد),131
خرداد,استيک ژانويه (97درصد گوشت),125
خرداد,کالباس قارچ و مرغ خانواده 500gr (60درصد),118
خرداد,کالباس ليونر مخلوط خانواده گوشت و مرغ 500gr (55درصد),115
